"state","area_of_expenditure","broad_source_of_funding","detailed_source_of_funding","real_expenditure_millions","financial_year"
"VIC","Community health","Government","State and local",534,1999
"VIC","Community health","Non-government","Other non-government",1,1999
"VIC","Community health","Non-government","Private health insurance funds",0,1999
"VIC","Dental services","Government","Australian Government",67,1999
"VIC","Dental services","Government","State and local",156,1999
"VIC","Dental services","Non-government","Individuals",945,1999
"VIC","Dental services","Non-government","Other non-government",3,1999
"VIC","Dental services","Non-government","Private health insurance funds",104,1999
"VIC","Medical expense tax rebate","Government","Australian Government",67,1999
"VIC","Medical expense tax rebate","Non-government","Individuals",-67,1999
"VIC","Medical services","Government","Australian Government",3185,1999
"VIC","Medical services","Non-government","Individuals",381,1999
"VIC","Medical services","Non-government","Other non-government",138,1999
"VIC","Medical services","Non-government","Private health insurance funds",121,1999
"VIC","Other health practitioners","Government","Australian Government",108,1999
"VIC","Other health practitioners","Non-government","Individuals",523,1999
"VIC","Other health practitioners","Non-government","Other non-government",77,1999
"VIC","Other health practitioners","Non-government","Private health insurance funds",51,1999
"VIC","Patient transport services","Government","Australian Government",16,1999
"VIC","Patient transport services","Government","State and local",93,1999
"VIC","Patient transport services","Non-government","Individuals",82,1999
"VIC","Patient transport services","Non-government","Other non-government",15,1999
"VIC","Patient transport services","Non-government","Private health insurance funds",2,1999
"VIC","Private hospitals","Government","Australian Government",485,1999
"VIC","Private hospitals","Non-government","Individuals",145,1999
"VIC","Private hospitals","Non-government","Other non-government",237,1999
"VIC","Private hospitals","Non-government","Private health insurance funds",701,1999
"VIC","Public health","Government","Australian Government",140,1999
"VIC","Public health","Government","State and local",149,1999
"VIC","Public health","Non-government","Other non-government",5,1999
"VIC","Public hospitals","Government","Australian Government",2391,1999
"VIC","Public hospitals","Government","State and local",2244,1999
"VIC","Public hospitals","Non-government","Individuals",142,1999
"VIC","Public hospitals","Non-government","Other non-government",257,1999
"VIC","Public hospitals","Non-government","Private health insurance funds",54,1999
"VIC","Research","Government","Australian Government",337,1999
"VIC","Research","Government","State and local",108,1999
"VIC","Research","Non-government","Other non-government",55,1999
"QLD","Administration","Government","Australian Government",219,1999
"QLD","Administration","Government","State and local",74,1999
"QLD","Administration","Non-government","Private health insurance funds",136,1999
"QLD","Aids and appliances","Government","Australian Government",55,1999
"QLD","Aids and appliances","Non-government","Individuals",267,1999
"QLD","Aids and appliances","Non-government","Other non-government",1,1999
"QLD","Aids and appliances","Non-government","Private health insurance funds",25,1999
"QLD","All other medications","Government","Australian Government",6,1999
"QLD","All other medications","Non-government","Individuals",528,1999
"QLD","All other medications","Non-government","Other non-government",1,1999
"QLD","All other medications","Non-government","Private health insurance funds",5,1999
"QLD","Benefit-paid pharmaceuticals","Government","Australian Government",638,1999
"QLD","Benefit-paid pharmaceuticals","Non-government","Individuals",125,1999
"QLD","Capital expenditure","Government","Australian Government",16,1999
"QLD","Capital expenditure","Government","State and local",672,1999
"QLD","Capital expenditure","Non-government","Other non-government",895,1999
"QLD","Community health","Government","Australian Government",71,1999
"QLD","Community health","Government","State and local",939,1999
"QLD","Community health","Non-government","Other non-government",0,1999
"QLD","Community health","Non-government","Private health insurance funds",0,1999
"QLD","Dental services","Government","Australian Government",67,1999
"QLD","Dental services","Government","State and local",148,1999
"QLD","Dental services","Non-government","Individuals",278,1999
"QLD","Dental services","Non-government","Other non-government",2,1999
"QLD","Dental services","Non-government","Private health insurance funds",101,1999
"QLD","Medical expense tax rebate","Government","Australian Government",40,1999
"QLD","Medical expense tax rebate","Non-government","Individuals",-40,1999
"QLD","Medical services","Government","Australian Government",2320,1999
"QLD","Medical services","Non-government","Individuals",303,1999
"QLD","Medical services","Non-government","Other non-government",40,1999
"QLD","Medical services","Non-government","Private health insurance funds",57,1999
"QLD","Other health practitioners","Government","Australian Government",92,1999
"QLD","Other health practitioners","Non-government","Individuals",265,1999
"QLD","Other health practitioners","Non-government","Other non-government",19,1999
"QLD","Other health practitioners","Non-government","Private health insurance funds",46,1999
"QLD","Patient transport services","Government","Australian Government",21,1999
"QLD","Patient transport services","Government","State and local",212,1999
"QLD","Patient transport services","Non-government","Individuals",78,1999
"QLD","Patient transport services","Non-government","Other non-government",4,1999
"QLD","Patient transport services","Non-government","Private health insurance funds",3,1999
"QLD","Private hospitals","Government","Australian Government",512,1999
"QLD","Private hospitals","Non-government","Individuals",103,1999
"QLD","Private hospitals","Non-government","Other non-government",142,1999
"QLD","Private hospitals","Non-government","Private health insurance funds",534,1999
"QLD","Public health","Government","Australian Government",116,1999
"QLD","Public health","Government","State and local",99,1999
"QLD","Public health","Non-government","Other non-government",5,1999
"QLD","Public hospitals","Government","Australian Government",1761,1999
"QLD","Public hospitals","Government","State and local",1859,1999
"QLD","Public hospitals","Non-government","Individuals",22,1999
"QLD","Public hospitals","Non-government","Other non-government",78,1999
"QLD","Public hospitals","Non-government","Private health insurance funds",30,1999
"QLD","Research","Government","Australian Government",144,1999
"QLD","Research","Government","State and local",24,1999
"QLD","Research","Non-government","Other non-government",12,1999
"WA","Administration","Government","Australian Government",145,1999
"WA","Administration","Government","State and local",60,1999
"WA","Administration","Non-government","Individuals",51,1999
"WA","Administration","Non-government","Private health insurance funds",72,1999
"WA","Aids and appliances","Government","Australian Government",29,1999
"WA","Aids and appliances","Non-government","Individuals",95,1999
"WA","Aids and appliances","Non-government","Other non-government",6,1999
"WA","Aids and appliances","Non-government","Private health insurance funds",21,1999
"WA","All other medications","Government","Australian Government",4,1999
"WA","All other medications","Non-government","Individuals",191,1999
"WA","All other medications","Non-government","Other non-government",9,1999
"WA","All other medications","Non-government","Private health insurance funds",3,1999
"WA","Benefit-paid pharmaceuticals","Government","Australian Government",294,1999
"WA","Benefit-paid pharmaceuticals","Non-government","Individuals",62,1999
"WA","Capital expenditure","Government","Australian Government",3,1999
"WA","Capital expenditure","Government","State and local",105,1999
"WA","Capital expenditure","Non-government","Other non-government",145,1999
"WA","Community health","Government","Australian Government",47,1999
"WA","Community health","Government","State and local",259,1999
"WA","Community health","Non-government","Individuals",7,1999
"WA","Community health","Non-government","Other non-government",1,1999
"WA","Community health","Non-government","Private health insurance funds",0,1999
"WA","Dental services","Government","Australian Government",54,1999
"WA","Dental services","Government","State and local",53,1999
"WA","Dental services","Non-government","Individuals",229,1999
"WA","Dental services","Non-government","Other non-government",2,1999
"WA","Dental services","Non-government","Private health insurance funds",103,1999
"WA","Medical expense tax rebate","Government","Australian Government",18,1999
"WA","Medical expense tax rebate","Non-government","Individuals",-18,1999
"WA","Medical services","Government","Australian Government",1133,1999
"WA","Medical services","Non-government","Individuals",151,1999
"WA","Medical services","Non-government","Other non-government",102,1999
"WA","Medical services","Non-government","Private health insurance funds",28,1999
"WA","Other health practitioners","Government","Australian Government",47,1999
"WA","Other health practitioners","Non-government","Individuals",12,1999
"WA","Other health practitioners","Non-government","Other non-government",45,1999
"WA","Other health practitioners","Non-government","Private health insurance funds",37,1999
"WA","Patient transport services","Government","Australian Government",20,1999
"WA","Patient transport services","Government","State and local",39,1999
"WA","Patient transport services","Non-government","Individuals",17,1999
"WA","Patient transport services","Non-government","Other non-government",5,1999
"WA","Patient transport services","Non-government","Private health insurance funds",12,1999
"WA","Private hospitals","Government","Australian Government",218,1999
"WA","Private hospitals","Non-government","Individuals",111,1999
"WA","Private hospitals","Non-government","Other non-government",81,1999
"WA","Private hospitals","Non-government","Private health insurance funds",280,1999
"WA","Public health","Government","Australian Government",60,1999
"WA","Public health","Government","State and local",79,1999
"WA","Public health","Non-government","Individuals",0,1999
"WA","Public health","Non-government","Other non-government",2,1999
"WA","Public hospitals","Government","Australian Government",973,1999
"WA","Public hospitals","Government","State and local",1141,1999
"WA","Public hospitals","Non-government","Individuals",16,1999
"WA","Public hospitals","Non-government","Other non-government",82,1999
"WA","Public hospitals","Non-government","Private health insurance funds",27,1999
"WA","Research","Government","Australian Government",91,1999
"WA","Research","Government","State and local",18,1999
"WA","Research","Non-government","Other non-government",10,1999
"SA","Administration","Government","Australian Government",147,1999
"SA","Administration","Government","State and local",127,1999
"SA","Administration","Non-government","Private health insurance funds",68,1999
"SA","Aids and appliances","Government","Australian Government",23,1999
"SA","Aids and appliances","Non-government","Individuals",74,1999
"SA","Aids and appliances","Non-government","Other non-government",3,1999
"SA","Aids and appliances","Non-government","Private health insurance funds",16,1999
"SA","All other medications","Government","Australian Government",4,1999
"SA","All other medications","Non-government","Individuals",146,1999
"SA","All other medications","Non-government","Other non-government",3,1999
"SA","All other medications","Non-government","Private health insurance funds",2,1999
"SA","Benefit-paid pharmaceuticals","Government","Australian Government",299,1999
"SA","Benefit-paid pharmaceuticals","Non-government","Individuals",56,1999
"SA","Capital expenditure","Government","Australian Government",1,1999
"SA","Capital expenditure","Government","State and local",138,1999
"SA","Capital expenditure","Non-government","Other non-government",57,1999
"SA","Community health","Government","Australian Government",25,1999
"SA","Community health","Government","State and local",279,1999
"SA","Community health","Non-government","Other non-government",0,1999
"SA","Community health","Non-government","Private health insurance funds",0,1999
"SA","Dental services","Government","Australian Government",36,1999
"SA","Dental services","Government","State and local",44,1999
"SA","Dental services","Non-government","Individuals",91,1999
"SA","Dental services","Non-government","Other non-government",1,1999
"SA","Dental services","Non-government","Private health insurance funds",62,1999
"SA","Medical expense tax rebate","Government","Australian Government",14,1999
"SA","Medical expense tax rebate","Non-government","Individuals",-14,1999
"SA","Medical services","Government","Australian Government",914,1999
"SA","Medical services","Non-government","Individuals",94,1999
"SA","Medical services","Non-government","Other non-government",110,1999
"SA","Medical services","Non-government","Private health insurance funds",36,1999
"SA","Other health practitioners","Government","Australian Government",40,1999
"SA","Other health practitioners","Non-government","Individuals",5,1999
"SA","Other health practitioners","Non-government","Other non-government",24,1999
"SA","Other health practitioners","Non-government","Private health insurance funds",33,1999
"SA","Patient transport services","Government","Australian Government",12,1999
"SA","Patient transport services","Government","State and local",52,1999
"SA","Patient transport services","Non-government","Individuals",35,1999
"SA","Patient transport services","Non-government","Other non-government",8,1999
"SA","Patient transport services","Non-government","Private health insurance funds",2,1999
"SA","Private hospitals","Government","Australian Government",133,1999
"SA","Private hospitals","Non-government","Individuals",13,1999
"SA","Private hospitals","Non-government","Other non-government",53,1999
"SA","Private hospitals","Non-government","Private health insurance funds",243,1999
"SA","Public health","Government","Australian Government",56,1999
"SA","Public health","Government","State and local",64,1999
"SA","Public health","Non-government","Individuals",0,1999
"SA","Public health","Non-government","Other non-government",2,1999
"SA","Public hospitals","Government","Australian Government",981,1999
"SA","Public hospitals","Government","State and local",885,1999
"SA","Public hospitals","Non-government","Individuals",11,1999
"SA","Public hospitals","Non-government","Other non-government",28,1999
"SA","Public hospitals","Non-government","Private health insurance funds",21,1999
"SA","Research","Government","Australian Government",122,1999
"SA","Research","Government","State and local",19,1999
"SA","Research","Non-government","Other non-government",7,1999
"TAS","Administration","Government","Australian Government",62,1999
"TAS","Administration","Government","State and local",0,1999
"TAS","Administration","Non-government","Private health insurance funds",21,1999
"TAS","Aids and appliances","Government","Australian Government",7,1999
"TAS","Aids and appliances","Non-government","Individuals",33,1999
"TAS","Aids and appliances","Non-government","Other non-government",1,1999
"TAS","Aids and appliances","Non-government","Private health insurance funds",5,1999
"TAS","All other medications","Government","Australian Government",2,1999
"TAS","All other medications","Non-government","Individuals",60,1999
"TAS","All other medications","Non-government","Other non-government",2,1999
"TAS","All other medications","Non-government","Private health insurance funds",1,1999
"TAS","Benefit-paid pharmaceuticals","Government","Australian Government",101,1999
"TAS","Benefit-paid pharmaceuticals","Non-government","Individuals",18,1999
"TAS","Capital expenditure","Government","Australian Government",1,1999
"TAS","Capital expenditure","Government","State and local",8,1999
"TAS","Capital expenditure","Non-government","Other non-government",48,1999
"TAS","Community health","Government","Australian Government",8,1999
"TAS","Community health","Government","State and local",150,1999
"TAS","Community health","Non-government","Other non-government",0,1999
"TAS","Community health","Non-government","Private health insurance funds",0,1999
"TAS","Dental services","Government","Australian Government",9,1999
"TAS","Dental services","Government","State and local",0,1999
"TAS","Dental services","Non-government","Individuals",39,1999
"TAS","Dental services","Non-government","Other non-government",0,1999
"TAS","Dental services","Non-government","Private health insurance funds",14,1999
"TAS","Medical expense tax rebate","Government","Australian Government",3,1999
"TAS","Medical expense tax rebate","Non-government","Individuals",-3,1999
"TAS","Medical services","Government","Australian Government",282,1999
"TAS","Medical services","Non-government","Individuals",39,1999
"TAS","Medical services","Non-government","Other non-government",22,1999
"TAS","Medical services","Non-government","Private health insurance funds",7,1999
"TAS","Other health practitioners","Government","Australian Government",13,1999
"TAS","Other health practitioners","Non-government","Individuals",21,1999
"TAS","Other health practitioners","Non-government","Other non-government",14,1999
"TAS","Other health practitioners","Non-government","Private health insurance funds",6,1999
"TAS","Patient transport services","Government","Australian Government",2,1999
"TAS","Patient transport services","Government","State and local",23,1999
"TAS","Patient transport services","Non-government","Individuals",0,1999
"TAS","Patient transport services","Non-government","Other non-government",1,1999
"TAS","Patient transport services","Non-government","Private health insurance funds",0,1999
"TAS","Private hospitals","Government","Australian Government",56,1999
"TAS","Private hospitals","Non-government","Individuals",43,1999
"TAS","Private hospitals","Non-government","Other non-government",19,1999
"TAS","Private hospitals","Non-government","Private health insurance funds",71,1999
"TAS","Public health","Government","Australian Government",24,1999
"TAS","Public health","Government","State and local",18,1999
"TAS","Public health","Non-government","Other non-government",1,1999
"TAS","Public hospitals","Government","Australian Government",217,1999
"TAS","Public hospitals","Government","State and local",260,1999
"TAS","Public hospitals","Non-government","Individuals",10,1999
"TAS","Public hospitals","Non-government","Other non-government",17,1999
"TAS","Public hospitals","Non-government","Private health insurance funds",6,1999
"TAS","Research","Government","Australian Government",21,1999
"TAS","Research","Government","State and local",6,1999
"TAS","Research","Non-government","Other non-government",1,1999
"ACT","Administration","Government","Australian Government",119,1999
"ACT","Administration","Government","State and local",70,1999
"ACT","Administration","Non-government","Private health insurance funds",4,1999
"ACT","Aids and appliances","Government","Australian Government",4,1999
"ACT","Aids and appliances","Non-government","Individuals",8,1999
"ACT","Aids and appliances","Non-government","Other non-government",1,1999
"ACT","Aids and appliances","Non-government","Private health insurance funds",1,1999
"ACT","All other medications","Government","Australian Government",1,1999
"ACT","All other medications","Non-government","Individuals",20,1999
"ACT","All other medications","Non-government","Other non-government",0,1999
"ACT","All other medications","Non-government","Private health insurance funds",0,1999
"ACT","Benefit-paid pharmaceuticals","Government","Australian Government",45,1999
"ACT","Benefit-paid pharmaceuticals","Non-government","Individuals",11,1999
"ACT","Capital expenditure","Government","Australian Government",0,1999
"ACT","Capital expenditure","Government","State and local",14,1999
"ACT","Capital expenditure","Non-government","Other non-government",24,1999
"ACT","Community health","Government","Australian Government",2,1999
"ACT","Community health","Government","State and local",219,1999
"ACT","Community health","Non-government","Other non-government",0,1999
"ACT","Community health","Non-government","Private health insurance funds",0,1999
"ACT","Dental services","Government","Australian Government",3,1999
"ACT","Dental services","Government","State and local",6,1999
"ACT","Dental services","Non-government","Individuals",56,1999
"ACT","Dental services","Non-government","Other non-government",0,1999
"ACT","Dental services","Non-government","Private health insurance funds",6,1999
"ACT","Medical expense tax rebate","Government","Australian Government",7,1999
"ACT","Medical expense tax rebate","Non-government","Individuals",-7,1999
"ACT","Medical services","Government","Australian Government",188,1999
"ACT","Medical services","Non-government","Individuals",49,1999
"ACT","Medical services","Non-government","Other non-government",9,1999
"ACT","Medical services","Non-government","Private health insurance funds",1,1999
"ACT","Other health practitioners","Government","Australian Government",8,1999
"ACT","Other health practitioners","Non-government","Individuals",23,1999
"ACT","Other health practitioners","Non-government","Other non-government",10,1999
"ACT","Other health practitioners","Non-government","Private health insurance funds",1,1999
"ACT","Patient transport services","Government","Australian Government",2,1999
"ACT","Patient transport services","Government","State and local",7,1999
"ACT","Patient transport services","Non-government","Individuals",0,1999
"ACT","Patient transport services","Non-government","Other non-government",1,1999
"ACT","Patient transport services","Non-government","Private health insurance funds",4,1999
"ACT","Private hospitals","Government","Australian Government",17,1999
"ACT","Private hospitals","Non-government","Individuals",14,1999
"ACT","Private hospitals","Non-government","Other non-government",14,1999
"ACT","Private hospitals","Non-government","Private health insurance funds",53,1999
"ACT","Public health","Government","Australian Government",15,1999
"ACT","Public health","Government","State and local",27,1999
"ACT","Public health","Non-government","Other non-government",1,1999
"ACT","Public hospitals","Government","Australian Government",136,1999
"ACT","Public hospitals","Government","State and local",218,1999
"ACT","Public hospitals","Non-government","Individuals",6,1999
"ACT","Public hospitals","Non-government","Other non-government",25,1999
"ACT","Public hospitals","Non-government","Private health insurance funds",8,1999
"ACT","Research","Government","Australian Government",89,1999
"ACT","Research","Government","State and local",14,1999
"ACT","Research","Non-government","Other non-government",5,1999
"NT","Administration","Government","Australian Government",53,1999
"NT","Administration","Government","State and local",45,1999
"NT","Administration","Non-government","Private health insurance funds",5,1999
"NT","Aids and appliances","Government","Australian Government",2,1999
"NT","Aids and appliances","Non-government","Individuals",7,1999
"NT","Aids and appliances","Non-government","Other non-government",3,1999
"NT","Aids and appliances","Non-government","Private health insurance funds",1,1999
"NT","All other medications","Government","Australian Government",2,1999
"NT","All other medications","Non-government","Individuals",16,1999
"NT","All other medications","Non-government","Other non-government",1,1999
"NT","All other medications","Non-government","Private health insurance funds",0,1999
"NT","Benefit-paid pharmaceuticals","Government","Australian Government",12,1999
"NT","Benefit-paid pharmaceuticals","Non-government","Individuals",3,1999
"NT","Capital expenditure","Government","Australian Government",0,1999
"NT","Capital expenditure","Government","State and local",9,1999
"NT","Capital expenditure","Non-government","Other non-government",3,1999
"NT","Community health","Government","Australian Government",45,1999
"NT","Community health","Government","State and local",126,1999
"NT","Community health","Non-government","Other non-government",0,1999
"NT","Community health","Non-government","Private health insurance funds",0,1999
"NT","Dental services","Government","Australian Government",1,1999
"NT","Dental services","Government","State and local",0,1999
"NT","Dental services","Non-government","Individuals",24,1999
"NT","Dental services","Non-government","Other non-government",0,1999
"NT","Dental services","Non-government","Private health insurance funds",3,1999
"NT","Medical expense tax rebate","Government","Australian Government",1,1999
"NT","Medical expense tax rebate","Non-government","Individuals",-1,1999
"NT","Medical services","Government","Australian Government",61,1999
"NT","Medical services","Non-government","Individuals",10,1999
"NT","Medical services","Non-government","Other non-government",9,1999
"NT","Medical services","Non-government","Private health insurance funds",2,1999
"NT","Other health practitioners","Government","Australian Government",3,1999
"NT","Other health practitioners","Non-government","Individuals",13,1999
"NT","Other health practitioners","Non-government","Other non-government",3,1999
"NT","Other health practitioners","Non-government","Private health insurance funds",1,1999
"NT","Patient transport services","Government","Australian Government",2,1999
"NT","Patient transport services","Government","State and local",16,1999
"NT","Patient transport services","Non-government","Individuals",1,1999
"NT","Patient transport services","Non-government","Other non-government",1,1999
"NT","Patient transport services","Non-government","Private health insurance funds",0,1999
"NT","Private hospitals","Government","Australian Government",6,1999
"NT","Private hospitals","Non-government","Individuals",7,1999
"NT","Private hospitals","Non-government","Other non-government",5,1999
"NT","Private hospitals","Non-government","Private health insurance funds",12,1999
"NT","Public health","Government","Australian Government",14,1999
"NT","Public health","Government","State and local",50,1999
"NT","Public health","Non-government","Other non-government",1,1999
"NT","Public hospitals","Government","Australian Government",100,1999
"NT","Public hospitals","Government","State and local",159,1999
"NT","Public hospitals","Non-government","Individuals",10,1999
"NT","Public hospitals","Non-government","Other non-government",16,1999
"NT","Public hospitals","Non-government","Private health insurance funds",1,1999
"NT","Research","Government","Australian Government",8,1999
"NT","Research","Government","State and local",3,1999
"NT","Research","Non-government","Other non-government",1,1999
"NSW","Administration","Government","Australian Government",485,2000
"NSW","Administration","Government","State and local",91,2000
"NSW","Administration","Non-government","Private health insurance funds",312,2000
"NSW","Aids and appliances","Government","Australian Government",71,2000
"NSW","Aids and appliances","Non-government","Individuals",610,2000
"NSW","Aids and appliances","Non-government","Other non-government",21,2000
"NSW","Aids and appliances","Non-government","Private health insurance funds",78,2000
"NSW","All other medications","Government","Australian Government",37,2000
"NSW","All other medications","Non-government","Individuals",895,2000
"NSW","All other medications","Non-government","Other non-government",36,2000
"NSW","All other medications","Non-government","Private health insurance funds",17,2000
"NSW","Benefit-paid pharmaceuticals","Government","Australian Government",1557,2000
"NSW","Benefit-paid pharmaceuticals","Non-government","Individuals",279,2000
"NSW","Capital expenditure","Government","Australian Government",34,2000
"NSW","Capital expenditure","Government","State and local",501,2000
"NSW","Capital expenditure","Non-government","Other non-government",663,2000
"NSW","Community health","Government","Australian Government",92,2000
"NSW","Community health","Government","State and local",1148,2000
"NSW","Community health","Non-government","Other non-government",4,2000
"NSW","Community health","Non-government","Private health insurance funds",0,2000
"NSW","Dental services","Government","Australian Government",177,2000
"NSW","Dental services","Government","State and local",107,2000
"NSW","Dental services","Non-government","Individuals",1102,2000
"NSW","Dental services","Non-government","Other non-government",5,2000
"NSW","Dental services","Non-government","Private health insurance funds",292,2000
"NSW","Medical expense tax rebate","Government","Australian Government",109,2000
"NSW","Medical expense tax rebate","Non-government","Individuals",-109,2000
"NSW","Medical services","Government","Australian Government",4486,2000
"NSW","Medical services","Non-government","Individuals",597,2000
"NSW","Medical services","Non-government","Other non-government",362,2000
"NSW","Medical services","Non-government","Private health insurance funds",119,2000
"NSW","Other health practitioners","Government","Australian Government",268,2000
"NSW","Other health practitioners","Non-government","Individuals",440,2000
"NSW","Other health practitioners","Non-government","Other non-government",141,2000
"NSW","Other health practitioners","Non-government","Private health insurance funds",117,2000
"NSW","Patient transport services","Government","Australian Government",68,2000
"NSW","Patient transport services","Government","State and local",168,2000
"NSW","Patient transport services","Non-government","Individuals",18,2000
"NSW","Patient transport services","Non-government","Other non-government",23,2000
"NSW","Patient transport services","Non-government","Private health insurance funds",83,2000
"NSW","Private hospitals","Government","Australian Government",684,2000
"NSW","Private hospitals","Non-government","Individuals",112,2000
"NSW","Private hospitals","Non-government","Other non-government",184,2000
"NSW","Private hospitals","Non-government","Private health insurance funds",790,2000
"NSW","Public health","Government","Australian Government",202,2000
"NSW","Public health","Government","State and local",219,2000
"NSW","Public health","Non-government","Other non-government",22,2000
"NSW","Public hospitals","Government","Australian Government",3704,2000
"NSW","Public hospitals","Government","State and local",3772,2000
"NSW","Public hospitals","Non-government","Individuals",265,2000
"NSW","Public hospitals","Non-government","Other non-government",328,2000
"NSW","Public hospitals","Non-government","Private health insurance funds",153,2000
"NSW","Research","Government","Australian Government",358,2000
"NSW","Research","Government","State and local",63,2000
"NSW","Research","Non-government","Other non-government",38,2000
"VIC","Administration","Government","Australian Government",318,2000
"VIC","Administration","Government","State and local",68,2000
"VIC","Administration","Non-government","Private health insurance funds",203,2000
"VIC","Aids and appliances","Government","Australian Government",38,2000
"VIC","Aids and appliances","Non-government","Individuals",574,2000
"VIC","Aids and appliances","Non-government","Other non-government",11,2000
"VIC","Aids and appliances","Non-government","Private health insurance funds",29,2000
"VIC","All other medications","Government","Australian Government",22,2000
"VIC","All other medications","Non-government","Individuals",791,2000
"VIC","All other medications","Non-government","Other non-government",21,2000
"VIC","All other medications","Non-government","Private health insurance funds",4,2000
"VIC","Benefit-paid pharmaceuticals","Government","Australian Government",1115,2000
"VIC","Benefit-paid pharmaceuticals","Non-government","Individuals",195,2000
"VIC","Capital expenditure","Government","Australian Government",22,2000
"VIC","Capital expenditure","Government","State and local",334,2000
"VIC","Capital expenditure","Non-government","Other non-government",338,2000
"VIC","Community health","Government","Australian Government",23,2000
"VIC","Community health","Government","State and local",579,2000
"VIC","Community health","Non-government","Other non-government",2,2000
"VIC","Community health","Non-government","Private health insurance funds",0,2000
"VIC","Dental services","Government","Australian Government",80,2000
"VIC","Dental services","Government","State and local",96,2000
"VIC","Dental services","Non-government","Individuals",1163,2000
"VIC","Dental services","Non-government","Other non-government",3,2000
"VIC","Dental services","Non-government","Private health insurance funds",123,2000
"VIC","Medical expense tax rebate","Government","Australian Government",68,2000
"VIC","Medical expense tax rebate","Non-government","Individuals",-68,2000
"VIC","Medical services","Government","Australian Government",3150,2000
"VIC","Medical services","Non-government","Individuals",387,2000
"VIC","Medical services","Non-government","Other non-government",151,2000
"VIC","Medical services","Non-government","Private health insurance funds",121,2000
"VIC","Other health practitioners","Government","Australian Government",176,2000
"VIC","Other health practitioners","Non-government","Individuals",530,2000
"VIC","Other health practitioners","Non-government","Other non-government",89,2000
"VIC","Other health practitioners","Non-government","Private health insurance funds",62,2000
"VIC","Patient transport services","Government","Australian Government",18,2000
"VIC","Patient transport services","Government","State and local",144,2000
"VIC","Patient transport services","Non-government","Individuals",80,2000
"VIC","Patient transport services","Non-government","Other non-government",20,2000
"VIC","Patient transport services","Non-government","Private health insurance funds",3,2000
"VIC","Private hospitals","Government","Australian Government",570,2000
"VIC","Private hospitals","Non-government","Individuals",113,2000
"VIC","Private hospitals","Non-government","Other non-government",199,2000
"VIC","Private hospitals","Non-government","Private health insurance funds",735,2000
"VIC","Public health","Government","Australian Government",128,2000
"VIC","Public health","Government","State and local",210,2000
"VIC","Public health","Non-government","Other non-government",14,2000
"VIC","Public hospitals","Government","Australian Government",2505,2000
"VIC","Public hospitals","Government","State and local",2595,2000
"VIC","Public hospitals","Non-government","Individuals",199,2000
"VIC","Public hospitals","Non-government","Other non-government",322,2000
"VIC","Public hospitals","Non-government","Private health insurance funds",53,2000
"VIC","Research","Government","Australian Government",401,2000
"VIC","Research","Government","State and local",127,2000
"VIC","Research","Non-government","Other non-government",67,2000
"QLD","Administration","Government","Australian Government",262,2000
"QLD","Administration","Government","State and local",110,2000
"QLD","Administration","Non-government","Private health insurance funds",152,2000
"QLD","Aids and appliances","Government","Australian Government",35,2000
"QLD","Aids and appliances","Non-government","Individuals",409,2000
"QLD","Aids and appliances","Non-government","Other non-government",2,2000
"QLD","Aids and appliances","Non-government","Private health insurance funds",35,2000
"QLD","All other medications","Government","Australian Government",19,2000
"QLD","All other medications","Non-government","Individuals",521,2000
"QLD","All other medications","Non-government","Other non-government",1,2000
"QLD","All other medications","Non-government","Private health insurance funds",7,2000
"QLD","Benefit-paid pharmaceuticals","Government","Australian Government",781,2000
"QLD","Benefit-paid pharmaceuticals","Non-government","Individuals",143,2000
"QLD","Capital expenditure","Government","Australian Government",49,2000
"QLD","Capital expenditure","Government","State and local",640,2000
"QLD","Capital expenditure","Non-government","Other non-government",982,2000
"QLD","Community health","Government","Australian Government",83,2000
"QLD","Community health","Government","State and local",1229,2000
"QLD","Community health","Non-government","Other non-government",1,2000
"NSW","Administration","Government","Australian Government",449,2001
"QLD","Community health","Non-government","Private health insurance funds",0,2000
"QLD","Dental services","Government","Australian Government",88,2000
"QLD","Dental services","Government","State and local",155,2000
"QLD","Dental services","Non-government","Individuals",355,2000
"QLD","Dental services","Non-government","Other non-government",3,2000
"QLD","Dental services","Non-government","Private health insurance funds",133,2000
"QLD","Medical expense tax rebate","Government","Australian Government",40,2000
"QLD","Medical expense tax rebate","Non-government","Individuals",-40,2000
"QLD","Medical services","Government","Australian Government",2333,2000
"QLD","Medical services","Non-government","Individuals",319,2000
"QLD","Medical services","Non-government","Other non-government",71,2000
"QLD","Medical services","Non-government","Private health insurance funds",79,2000
"QLD","Other health practitioners","Government","Australian Government",149,2000
"QLD","Other health practitioners","Non-government","Individuals",296,2000
"QLD","Other health practitioners","Non-government","Other non-government",34,2000
"QLD","Other health practitioners","Non-government","Private health insurance funds",58,2000
"QLD","Patient transport services","Government","Australian Government",23,2000
"QLD","Patient transport services","Government","State and local",229,2000
"QLD","Patient transport services","Non-government","Individuals",101,2000
"QLD","Patient transport services","Non-government","Other non-government",7,2000
"QLD","Patient transport services","Non-government","Private health insurance funds",4,2000
"QLD","Private hospitals","Government","Australian Government",569,2000
"QLD","Private hospitals","Non-government","Individuals",99,2000
"QLD","Private hospitals","Non-government","Other non-government",145,2000
"QLD","Private hospitals","Non-government","Private health insurance funds",570,2000
"QLD","Public health","Government","Australian Government",110,2000
